Avg Speed (km/h),Distance (km),Road Type,Battery (kWh),Top Speed (km/h),Range_per_Charge,Bus Type,Charger Type,Passenger Capacity
51,274,Highway,452,104,350,Double Decker Bus,Fast DC,79
31,207,Urban,370,87,294,Standard City Bus,Pantograph,51
40,298,Highway,443,85,333,Double Decker Bus,Depot,72
32,141,Rural,407,86,342,Standard City Bus,Fast DC,59
48,221,Highway,335,99,271,Mini Bus,Fast DC,33
43,231,Highway,397,89,303,Articulated Bus,Fast DC,89
32,222,Urban,328,84,272,Mini Bus,Depot,30
43,224,Highway,396,90,314,Standard City Bus,Depot,51
34,171,Urban,459,81,323,Double Decker Bus,Pantograph,70
35,220,Urban,291,84,228,Mini Bus,Pantograph,25
28,200,Rural,295,76,215,Mini Bus,Depot,27
47,240,Highway,391,101,311,Standard City Bus,Pantograph,64
41,226,Highway,373,99,285,Standard City Bus,Depot,60
40,213,Urban,308,90,243,Mini Bus,Pantograph,35
50,243,Highway,314,95,223,Mini Bus,Fast DC,29
34,172,Urban,437,89,355,Double Decker Bus,Pantograph,73
48,256,Highway,311,100,260,Mini Bus,Depot,28
29,181,Rural,368,88,283,Standard City Bus,Pantograph,62
40,250,Highway,412,97,339,Standard City Bus,Depot,61
33,202,Urban,371,91,269,Standard City Bus,Depot,54
35,200,Rural,286,83,202,Mini Bus,Depot,28
49,280,Highway,449,96,329,Articulated Bus,Fast DC,90
44,300,Highway,400,98,299,Articulated Bus,Pantograph,91
50,226,Highway,328,99,233,Mini Bus,Pantograph,31
33,232,Urban,463,90,357,Double Decker Bus,Depot,82
32,177,Rural,329,81,238,Mini Bus,Fast DC,35
40,233,Highway,457,93,383,Double Decker Bus,Fast DC,79
53,290,Highway,385,111,310,Standard City Bus,Depot,50
34,179,Urban,429,94,316,Double Decker Bus,Fast DC,85
34,138,Rural,334,80,252,Mini Bus,Fast DC,31
31,240,Urban,312,76,231,Mini Bus,Depot,35
30,146,Rural,301,78,250,Mini Bus,Depot,29
46,288,Highway,287,100,224,Mini Bus,Pantograph,32
42,267,Highway,424,88,310,Articulated Bus,Depot,81
30,156,Rural,418,82,301,Standard City Bus,Depot,58
40,227,Highway,450,85,339,Double Decker Bus,Pantograph,80
37,220,Urban,312,88,240,Mini Bus,Fast DC,27
43,239,Highway,433,95,338,Double Decker Bus,Pantograph,81
51,230,Highway,412,105,321,Standard City Bus,Pantograph,65
25,173,Rural,408,84,346,Standard City Bus,Fast DC,64
27,174,Rural,444,87,349,Double Decker Bus,Pantograph,74
35,219,Urban,389,84,323,Standard City Bus,Depot,59
46,253,Highway,439,95,322,Articulated Bus,Pantograph,86
31,199,Rural,414,79,314,Standard City Bus,Depot,62
54,288,Highway,289,105,216,Mini Bus,Depot,33
31,186,Rural,429,90,300,Articulated Bus,Depot,87
38,188,Urban,403,95,294,Articulated Bus,Depot,80
28,162,Rural,457,81,344,Double Decker Bus,Fast DC,83
28,166,Rural,303,86,245,Mini Bus,Depot,26
55,299,Highway,290,111,228,Mini Bus,Depot,25
52,235,Highway,433,99,355,Double Decker Bus,Pantograph,82
37,172,Urban,469,94,328,Double Decker Bus,Depot,76
33,152,Rural,401,80,295,Standard City Bus,Depot,55
40,258,Highway,459,97,358,Articulated Bus,Depot,83
38,192,Urban,425,90,325,Double Decker Bus,Pantograph,84
35,185,Urban,385,93,287,Standard City Bus,Fast DC,62
49,239,Highway,400,98,291,Standard City Bus,Depot,56
40,180,Urban,413,85,323,Articulated Bus,Pantograph,82
36,200,Urban,292,87,233,Mini Bus,Fast DC,32
32,225,Urban,452,91,332,Double Decker Bus,Pantograph,73
35,188,Urban,425,86,356,Articulated Bus,Fast DC,91
34,200,Urban,459,82,323,Double Decker Bus,Pantograph,70
32,151,Rural,367,85,282,Standard City Bus,Pantograph,65
33,201,Urban,434,92,321,Double Decker Bus,Fast DC,76
25,156,Rural,405,70,309,Articulated Bus,Pantograph,80
33,153,Rural,470,80,397,Double Decker Bus,Depot,78
53,228,Highway,365,100,294,Standard City Bus,Pantograph,51
43,252,Highway,410,98,327,Articulated Bus,Pantograph,93
48,297,Highway,411,101,297,Standard City Bus,Depot,50
36,179,Urban,467,81,342,Double Decker Bus,Fast DC,71
37,200,Urban,301,86,241,Mini Bus,Fast DC,26
37,213,Urban,322,89,267,Mini Bus,Pantograph,31
26,196,Rural,470,85,351,Double Decker Bus,Fast DC,81
32,202,Urban,437,86,330,Articulated Bus,Depot,88
45,270,Highway,394,103,284,Standard City Bus,Depot,61
40,192,Urban,460,90,387,Articulated Bus,Fast DC,93
34,220,Urban,392,94,326,Standard City Bus,Fast DC,56
26,197,Rural,459,83,342,Articulated Bus,Fast DC,81
50,243,Highway,410,102,313,Standard City Bus,Fast DC,55
32,186,Rural,288,86,218,Mini Bus,Depot,31
33,215,Urban,428,87,350,Double Decker Bus,Fast DC,70
27,173,Rural,283,72,219,Mini Bus,Pantograph,31
27,177,Rural,411,87,334,Standard City Bus,Depot,50
30,231,Urban,465,89,333,Double Decker Bus,Depot,76
26,183,Rural,325,79,229,Mini Bus,Depot,35
34,146,Rural,411,88,289,Articulated Bus,Depot,89
30,183,Urban,322,79,238,Mini Bus,Depot,33
37,224,Urban,391,90,289,Standard City Bus,Pantograph,64
45,263,Highway,421,101,332,Articulated Bus,Pantograph,86
43,268,Highway,428,89,332,Articulated Bus,Pantograph,93
32,190,Urban,449,81,318,Articulated Bus,Depot,90
29,179,Rural,337,83,273,Mini Bus,Pantograph,26
40,227,Highway,290,93,220,Mini Bus,Fast DC,31
26,152,Rural,420,81,305,Double Decker Bus,Pantograph,83
36,183,Urban,473,93,395,Double Decker Bus,Fast DC,76
31,170,Rural,393,80,330,Articulated Bus,Pantograph,84
46,287,Highway,285,100,236,Mini Bus,Pantograph,27
32,196,Rural,284,85,208,Mini Bus,Depot,27
45,251,Highway,284,101,225,Mini Bus,Depot,34
26,161,Rural,321,84,233,Mini Bus,Pantograph,26
54,222,Highway,329,108,249,Mini Bus,Depot,34
51,279,Highway,393,96,324,Articulated Bus,Pantograph,92
46,241,Highway,332,104,264,Mini Bus,Fast DC,26
31,195,Urban,467,81,369,Double Decker Bus,Depot,83
38,182,Urban,338,94,249,Mini Bus,Pantograph,26
27,199,Rural,466,82,337,Double Decker Bus,Fast DC,80
35,178,Urban,420,95,308,Standard City Bus,Pantograph,50
53,256,Highway,294,101,243,Mini Bus,Fast DC,27
55,257,Highway,323,109,239,Mini Bus,Depot,29
40,220,Urban,444,95,327,Double Decker Bus,Pantograph,74
33,198,Rural,434,87,361,Double Decker Bus,Depot,83
52,249,Highway,424,111,348,Articulated Bus,Depot,90
25,152,Rural,406,85,333,Articulated Bus,Pantograph,92
33,214,Urban,297,91,244,Mini Bus,Depot,35
40,298,Highway,361,99,294,Standard City Bus,Depot,52
43,269,Highway,427,91,360,Double Decker Bus,Depot,82
26,178,Rural,439,81,321,Double Decker Bus,Pantograph,80
40,294,Highway,429,91,312,Double Decker Bus,Fast DC,83
29,174,Rural,430,85,312,Articulated Bus,Fast DC,87
27,147,Rural,300,80,253,Mini Bus,Fast DC,31
33,180,Rural,401,83,325,Standard City Bus,Pantograph,60
49,277,Highway,321,96,269,Mini Bus,Fast DC,29
55,251,Highway,457,106,335,Double Decker Bus,Pantograph,85
29,179,Rural,369,84,309,Standard City Bus,Depot,58
37,238,Urban,475,97,334,Double Decker Bus,Fast DC,78
32,150,Rural,302,85,239,Mini Bus,Depot,32
51,270,Highway,445,98,333,Articulated Bus,Depot,81
55,289,Highway,373,100,307,Standard City Bus,Fast DC,65
28,189,Rural,450,76,342,Articulated Bus,Pantograph,81
38,224,Urban,440,90,370,Double Decker Bus,Pantograph,85
25,177,Rural,411,76,312,Standard City Bus,Fast DC,59
32,136,Rural,334,87,261,Mini Bus,Depot,34
34,230,Urban,390,92,286,Articulated Bus,Depot,87
27,200,Rural,393,80,325,Standard City Bus,Fast DC,56
29,161,Rural,476,85,372,Double Decker Bus,Depot,84
34,198,Rural,449,93,369,Articulated Bus,Depot,89
45,272,Highway,390,95,320,Standard City Bus,Fast DC,52
31,212,Urban,418,91,347,Articulated Bus,Depot,88
32,183,Urban,297,92,213,Mini Bus,Fast DC,26
54,278,Highway,314,108,234,Mini Bus,Pantograph,33
33,161,Rural,369,83,287,Standard City Bus,Depot,58
35,138,Rural,313,88,238,Mini Bus,Depot,27
45,239,Highway,381,96,286,Standard City Bus,Pantograph,61
36,240,Urban,446,91,375,Double Decker Bus,Pantograph,85
47,252,Highway,283,93,233,Mini Bus,Fast DC,30
35,159,Rural,366,95,296,Standard City Bus,Pantograph,54
31,162,Rural,398,85,312,Articulated Bus,Pantograph,89
54,263,Highway,305,103,253,Mini Bus,Pantograph,25
33,170,Urban,399,92,302,Articulated Bus,Pantograph,91
34,162,Rural,303,88,235,Mini Bus,Depot,33
37,184,Urban,306,94,222,Mini Bus,Depot,35
45,288,Highway,454,97,347,Articulated Bus,Pantograph,89
50,271,Highway,414,100,296,Standard City Bus,Pantograph,53
32,239,Urban,364,80,307,Standard City Bus,Depot,56
34,171,Urban,425,87,303,Articulated Bus,Fast DC,85
30,233,Urban,438,76,317,Double Decker Bus,Pantograph,73
42,294,Highway,412,94,325,Standard City Bus,Depot,63
35,140,Rural,286,93,220,Mini Bus,Fast DC,35
30,164,Rural,410,79,306,Articulated Bus,Pantograph,85
35,196,Rural,326,92,260,Mini Bus,Depot,33
35,190,Rural,336,92,249,Mini Bus,Pantograph,28
40,222,Urban,445,97,368,Articulated Bus,Fast DC,87
29,198,Rural,430,75,333,Articulated Bus,Pantograph,82
54,236,Highway,440,109,368,Double Decker Bus,Pantograph,76
34,194,Rural,291,87,231,Mini Bus,Pantograph,29
43,285,Highway,367,99,311,Standard City Bus,Pantograph,53
30,135,Rural,306,87,256,Mini Bus,Depot,27
39,213,Urban,420,97,296,Double Decker Bus,Pantograph,74
48,268,Highway,434,96,313,Articulated Bus,Depot,82
32,176,Rural,292,79,215,Mini Bus,Pantograph,29
39,219,Urban,311,85,263,Mini Bus,Fast DC,33
49,266,Highway,327,96,249,Mini Bus,Fast DC,27
46,250,Highway,337,103,270,Mini Bus,Depot,27
34,200,Rural,449,92,345,Double Decker Bus,Fast DC,85
39,214,Urban,421,93,330,Double Decker Bus,Pantograph,76
40,186,Urban,401,96,316,Standard City Bus,Pantograph,63
38,214,Urban,413,91,297,Articulated Bus,Pantograph,83
25,141,Rural,425,76,347,Double Decker Bus,Fast DC,80
30,193,Urban,415,90,328,Articulated Bus,Depot,91
33,230,Urban,293,86,221,Mini Bus,Fast DC,32
55,289,Highway,461,113,373,Double Decker Bus,Fast DC,73
30,173,Rural,454,89,324,Articulated Bus,Pantograph,92
31,202,Urban,455,84,362,Double Decker Bus,Fast DC,78
33,183,Urban,444,91,311,Double Decker Bus,Fast DC,73
32,200,Rural,360,82,300,Standard City Bus,Pantograph,53
27,144,Rural,375,75,308,Standard City Bus,Depot,52
34,169,Rural,446,89,336,Articulated Bus,Depot,88
26,145,Rural,403,73,336,Articulated Bus,Depot,93
27,147,Rural,404,85,317,Articulated Bus,Pantograph,88
34,163,Rural,295,83,232,Mini Bus,Pantograph,29
53,259,Highway,432,113,306,Double Decker Bus,Fast DC,71
46,230,Highway,383,96,294,Standard City Bus,Fast DC,52
33,189,Urban,369,80,273,Standard City Bus,Pantograph,60
